,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature
51,2,5,115,75,40,7.0,800,25
52,4,4,75,40,40,6.0,800,25
53,0,4,75,55,45,7.0,500,25
54,3,0,120,80,145,7.0,1100,35
55,2,1,75,60,50,7.5,800,15
56,4,0,140,60,45,5.5,600,30
57,3,6,100,55,50,7.0,800,15
58,3,1,25,40,20,7.0,900,30
59,1,0,140,75,145,7.0,1000,25
60,1,0,135,60,145,7.0,1000,35
61,4,6,130,70,100,6.5,700,20
62,1,0,135,85,120,6.5,1000,35
63,4,4,65,40,60,6.0,800,25
64,0,0,30,55,25,6.5,600,25
65,0,0,135,60,75,6.5,1000,35
66,2,1,20,30,30,6.0,800,20
67,2,5,120,75,60,6.0,900,30
68,2,5,110,60,50,6.0,1000,35
69,2,3,50,25,20,6.5,700,25
70,2,3,35,25,40,6.5,700,25
71,4,0,120,25,50,6.5,800,30
72,2,5,105,45,55,6.5,900,30
73,2,1,115,55,60,6.0,700,25
74,2,1,100,40,60,6.0,700,25
75,3,4,30,40,20,6.5,900,35
76,3,0,35,30,30,6.0,700,25
77,1,4,100,50,50,7.0,1200,35
78,0,0,20,55,25,6.5,600,25
79,2,0,25,35,20,6.0,500,25
80,2,1,120,40,45,6.5,1000,25
81,1,0,145,80,150,6.0,900,30
82,3,0,65,30,40,6.0,700,25
83,0,0,20,60,25,6.0,800,25
84,2,5,130,55,55,7.5,900,30
85,2,1,30,40,25,7.0,1000,20
86,2,0,35,30,25,7.0,700,25
87,2,1,135,80,60,6.0,600,25
88,0,0,120,70,70,8.5,500,20
89,3,0,150,80,150,7.0,1400,30
90,2,5,140,55,60,7.0,1000,35
91,2,1,85,50,60,6.0,700,25
92,1,0,150,90,125,7.0,900,20
93,1,0,120,70,150,6.0,900,30
94,0,4,60,60,45,7.0,500,25
95,1,0,70,50,50,7.0,700,25
96,4,0,150,70,55,6.5,600,25
97,0,0,120,80,65,8.5,500,30
98,3,0,150,65,130,7.0,1400,20
99,2,5,100,60,55,6.5,900,30
100,2,1,105,80,50,7.5,600,20
101,1,0,120,60,120,6.0,900,20
102,2,5,110,55,55,7.5,900,30
103,2,1,100,50,40,6.5,600,20
104,1,4,95,50,55,7.5,1100,30
105,1,0,80,40,50,7.0,600,20
106,1,4,115,45,50,7.0,1000,25
107,2,5,110,60,75,7.5,1000,35
108,1,4,95,45,55,7.5,1500,35
109,4,6,120,75,100,6.5,700,30
110,4,6,120,65,90,6.5,700,20
111,0,0,135,60,65,6.5,1200,25
112,4,6,150,80,80,7.0,800,20
113,1,4,95,60,40,6.5,1300,25
114,2,0,100,55,100,7.0,1400,20
115,2,1,60,55,50,7.5,600,20
116,4,0,100,40,60,6.0,800,15
117,4,4,85,60,130,7.5,800,25
118,2,0,95,60,100,7.5,1200,20
119,2,3,50,20,25,6.0,600,20
120,2,1,120,50,40,6.5,1000,25
121,2,2,30,15,5,6.5,700,30
122,1,4,120,50,40,6.5,1500,35
123,4,2,30,45,30,6.5,800,25
124,0,4,30,20,20,6.0,500,25
125,0,0,75,30,30,6.5,400,25
126,0,0,110,60,60,7.5,500,10
127,2,0,75,60,105,7.5,1500,25
128,4,0,100,55,40,6.5,900,15
129,0,0,70,40,30,7.5,600,25
130,2,5,130,45,60,6.0,1000,35
131,2,1,120,60,55,6.0,500,15
132,4,0,150,65,55,6.0,600,30
133,3,0,110,50,55,5.5,700,40
134,1,0,65,55,60,6.0,700,25
135,2,1,150,60,55,7.5,500,20
136,2,1,100,55,50,7.5,1000,25
137,4,6,140,80,100,6.5,700,25
138,3,0,125,80,130,6.5,1300,25
139,1,0,120,70,145,7.0,1000,35
140,2,5,130,55,65,7.5,800,25
141,4,0,105,50,50,7.0,800,25
142,2,1,150,65,60,6.0,600,25
143,2,5,105,45,70,7.0,900,30
144,0,0,125,75,70,8.0,1200,35
145,1,0,60,35,25,7.0,400,25
146,0,4,80,55,60,6.0,500,15
147,4,0,110,30,55,7.0,900,35
148,0,0,20,55,20,7.5,700,30
149,2,0,85,55,115,7.0,1100,35
150,4,0,110,40,60,6.0,800,15
151,3,0,150,60,130,6.5,1000,30
152,4,6,150,65,90,6.5,700,20
153,3,0,140,75,140,6.5,1000,30
154,2,1,115,50,50,7.0,700,25
155,4,0,100,45,55,7.5,900,20
156,0,0,150,75,70,8.0,1200,35
157,1,0,40,55,60,6.0,1000,25
158,2,5,110,40,70,6.0,900,30
159,2,1,130,80,60,6.0,600,25
160,0,0,150,75,80,8.0,1200,20
161,2,3,35,20,35,6.0,1000,30
162,1,0,135,65,130,7.0,900,20
163,2,1,120,65,50,7.0,500,20
164,4,0,105,40,40,6.0,800,15
165,1,0,80,50,60,6.0,500,15
166,2,1,25,35,25,6.5,900,25
167,0,0,20,40,25,6.0,800,25
168,1,4,85,40,55,7.5,1300,25
169,0,0,130,80,70,8.5,1100,35
170,1,0,145,90,150,6.0,900,30
171,2,5,145,40,70,6.0,900,30
172,4,4,90,40,130,7.0,700,25
173,2,0,85,50,105,6.5,1300,25
174,0,0,45,35,30,6.5,300,25
175,3,0,40,35,25,6.5,800,30
176,0,0,135,65,70,7.0,1000,30
177,1,0,120,85,145,7.0,1000,25
178,2,0,50,30,10,6.5,700,25
179,0,0,120,65,70,7.0,1000,30
180,2,1,120,75,55,7.5,800,15
181,0,0,65,30,20,6.0,500,25
182,1,0,50,55,80,6.5,900,20
183,1,4,120,55,45,7.0,1000,25
184,2,5,150,50,50,7.0,800,25
185,2,3,40,25,20,6.5,700,25
186,3,0,150,60,140,7.0,1100,25
187,4,4,85,45,125,6.5,800,25
188,2,1,125,70,55,7.5,600,25
189,1,0,65,40,40,6.0,500,15
190,0,0,105,80,80,8.0,500,30
191,2,1,115,80,45,7.0,700,25
192,4,4,65,45,50,7.0,800,25
193,4,0,115,40,55,7.5,900,25
194,1,0,150,80,130,6.0,1000,35
195,1,4,90,50,60,6.0,1000,25
196,4,4,60,60,45,6.0,800,25
197,2,1,85,45,40,6.5,1000,25
198,4,0,115,55,45,7.0,800,25
199,0,4,60,45,60,6.0,500,15
200,1,0,45,30,25,7.0,500,30
201,4,4,65,50,55,7.5,900,30
202,1,0,75,40,50,7.0,600,20
203,4,6,135,80,80,7.0,800,20
204,1,0,150,85,130,6.0,1000,25
205,2,5,120,80,60,6.0,900,30
206,3,6,100,55,45,7.0,800,20
207,3,0,115,55,50,6.0,800,40
208,0,0,70,40,30,7.0,700,35
209,3,1,30,30,20,6.0,700,20
210,0,4,65,50,55,7.5,600,30
211,4,0,105,55,45,7.0,800,25
212,2,1,65,45,60,6.0,500,15
213,0,0,130,60,65,6.5,1200,25
214,3,0,145,60,150,7.5,1200,20
215,0,0,20,40,20,6.0,700,25
216,0,0,120,65,60,7.5,600,15
217,2,1,110,60,40,6.0,500,15
218,4,4,85,40,125,6.5,800,30
219,1,4,85,40,40,6.0,1000,25
220,2,1,85,40,55,7.5,1000,25
221,0,0,105,60,65,8.5,600,10
222,0,0,25,45,25,6.5,700,30
223,1,0,140,80,120,6.5,1000,25
224,1,0,80,60,60,6.0,600,20
225,2,1,140,75,60,6.0,700,30
226,2,5,110,60,65,7.5,800,25
227,2,5,105,45,75,6.5,1000,35
228,2,0,20,35,20,6.0,500,25
229,2,0,90,55,110,7.0,1400,30
230,1,0,120,90,135,6.5,900,30
231,0,4,60,40,20,7.5,700,30
232,1,4,90,45,55,7.5,1500,35
233,1,0,45,40,25,7.0,600,35
234,0,0,115,65,65,8.0,600,15
235,4,6,135,70,95,7.0,800,25
236,0,0,120,65,65,7.0,1100,25
237,4,0,110,20,55,7.0,900,25
238,2,1,140,65,45,6.5,600,25
239,2,0,25,25,35,6.5,600,25
240,4,4,75,50,50,7.0,800,25
241,0,0,110,80,65,8.5,500,30
242,2,5,120,65,40,7.0,800,25
243,0,0,30,45,30,6.5,700,30
244,3,0,120,65,145,7.5,1200,30
245,0,0,30,50,35,7.5,700,30
246,2,1,110,40,55,7.5,800,15
247,0,0,50,35,25,6.5,400,25
248,2,1,100,60,55,6.0,500,15
249,0,0,20,40,25,6.5,800,30
250,2,1,110,60,40,6.5,800,15
251,2,5,125,60,55,6.5,900,30
252,4,0,125,80,45,7.5,500,30
253,2,5,105,60,60,6.0,1000,35
254,2,1,60,60,45,7.0,900,20
255,4,4,80,55,140,6.0,700,30
256,0,0,20,55,35,7.5,600,30
257,2,1,135,80,55,6.0,500,20
258,2,1,115,80,50,7.5,600,20
259,3,1,30,40,15,7.0,900,30
260,0,0,70,35,25,6.5,600,30
261,0,0,100,70,60,8.5,600,20
262,1,4,100,55,40,6.5,1100,30
263,2,0,50,30,15,6.5,700,25
264,3,0,140,80,150,7.0,1400,30
265,4,4,60,45,60,6.0,800,25
266,4,4,95,40,135,7.5,800,20
267,3,0,35,35,20,6.5,800,30
268,2,0,40,25,10,6.0,600,20
269,1,0,125,60,150,6.0,900,30
270,2,0,25,30,40,7.0,700,30
271,0,0,145,60,70,6.5,1100,30
272,1,4,120,45,40,6.5,1300,25
273,2,0,95,50,105,6.5,1300,25
274,2,0,40,25,25,6.5,600,25
275,4,4,75,40,45,6.5,900,30
276,2,5,120,40,60,7.0,1000,35
277,0,0,45,30,30,6.0,300,20
278,2,1,110,80,55,6.0,500,15
279,1,4,80,55,45,7.0,1000,25
280,0,0,120,60,60,7.5,500,10
281,4,6,35,50,25,6.5,700,30
282,0,0,100,65,75,8.5,600,15
283,4,0,120,80,45,7.5,500,30
284,1,0,120,85,140,7.0,1000,35
285,4,4,60,60,40,6.5,900,30
286,4,6,120,70,95,7.0,800,25
287,1,0,120,60,135,6.0,1000,25
288,1,0,40,60,75,5.5,900,20
289,2,1,110,60,55,6.0,500,15
290,2,0,30,30,35,7.0,700,25
291,2,4,50,20,30,5.5,300,20
292,1,0,140,60,150,6.0,900,30
293,3,6,105,55,50,7.0,800,15
294,2,1,120,80,60,6.0,600,25
295,3,6,110,60,50,7.5,900,15
296,3,0,30,40,25,7.5,700,20
297,2,5,105,50,65,6.5,800,25
298,4,0,150,80,40,7.5,500,20
299,0,0,105,80,65,8.5,500,30
300,1,0,140,75,130,6.0,1000,25
301,3,0,125,70,135,7.5,1500,25
302,1,4,120,45,60,6.0,1400,30
303,2,5,120,45,70,7.0,900,30
304,1,0,135,60,120,6.0,900,20
305,4,4,80,60,40,6.5,900,30
306,2,1,140,75,50,7.5,700,30
307,1,0,125,85,125,7.0,900,30
308,1,0,50,35,25,7.0,400,25
309,2,1,75,60,45,7.0,900,20
310,4,0,105,45,60,6.0,800,15
311,1,0,130,80,130,6.0,1000,35
312,4,6,140,65,80,7.0,800,20
313,2,1,135,80,40,6.5,500,20
314,4,6,135,60,95,7.0,800,20
315,1,0,50,40,80,6.5,900,20
316,4,0,115,60,40,6.5,900,15
317,2,0,75,55,105,7.0,1100,25
318,2,1,65,55,55,7.0,700,25
319,2,5,145,45,60,6.0,1000,35
320,1,0,125,60,140,6.5,900,20
321,2,1,130,65,60,6.0,600,25
322,0,0,130,60,80,6.5,1200,20
323,3,6,120,60,45,7.5,900,15
324,0,0,110,60,75,7.5,600,10
325,4,0,100,50,55,7.5,900,20
326,0,0,45,30,25,6.0,400,20
327,4,0,140,65,60,6.0,500,25
328,4,6,130,60,85,7.0,800,30
329,4,0,150,70,40,6.5,600,30
330,4,0,140,60,50,5.5,500,25
331,1,4,95,40,40,6.0,1000,25
332,2,5,130,60,70,6.0,900,30
333,4,4,80,45,140,6.0,700,25
334,0,0,60,40,30,7.0,300,30
335,4,0,140,70,60,6.5,500,20
336,1,0,55,20,35,7.5,400,25
337,3,0,150,75,130,7.5,1500,35
338,2,1,145,75,45,7.0,500,20
339,2,0,55,30,30,7.5,600,30
340,0,0,145,75,60,8.0,1100,25
341,3,0,105,60,55,6.5,900,35
342,2,5,105,50,55,6.5,900,30
343,3,0,125,80,120,7.5,1200,30
344,4,4,65,55,60,6.0,800,25
345,2,5,120,80,45,7.5,900,30
346,2,1,130,70,60,6.0,500,20
347,3,0,145,75,140,6.5,1000,30
348,1,0,140,75,135,6.0,1000,35
349,2,5,150,60,50,7.0,800,25
350,4,0,120,70,50,6.5,500,30
351,2,0,30,30,20,6.0,500,25
352,2,5,115,40,70,6.0,900,30
353,2,5,140,55,55,7.5,900,30
354,0,0,80,40,20,7.0,700,35
355,0,4,65,55,50,7.5,600,30
356,4,0,110,55,50,7.5,900,15
357,0,0,110,65,75,8.5,600,15
358,3,0,135,60,120,6.5,1000,20
359,4,4,70,40,55,7.5,900,30
360,2,1,120,80,40,6.5,800,15
361,0,0,135,70,60,7.5,1200,25
362,1,0,55,40,25,7.0,600,35
363,1,4,95,55,40,6.5,1100,30
364,4,6,140,65,95,7.0,800,30
365,2,5,140,50,65,6.5,800,25
366,4,4,65,50,45,7.0,800,25
367,1,0,130,75,135,6.0,1000,35
368,2,1,60,45,50,6.5,1000,25
369,2,0,45,25,10,6.0,600,20
370,2,3,25,20,40,6.0,900,25
371,2,1,30,35,20,6.5,900,25
372,4,0,110,55,45,7.0,800,25
373,3,0,130,65,135,7.0,1100,35
374,2,3,40,25,25,6.5,700,25
375,2,5,115,60,50,7.0,800,25
376,1,4,95,55,55,7.5,1300,25
377,0,0,150,70,65,7.5,1100,30
378,1,0,50,25,10,6.0,500,20
379,0,0,125,75,75,8.0,1000,35
380,4,0,150,75,60,7.0,500,30
381,4,4,85,60,135,6.0,700,20
382,4,6,35,60,30,7.0,800,35
383,2,5,100,45,60,6.0,1000,35
384,4,0,25,25,45,6.0,1600,25
385,0,0,140,80,70,8.5,1100,35
386,1,0,125,90,120,6.5,1000,25
387,2,1,145,75,55,7.5,500,20
388,1,0,125,70,150,6.0,900,30
389,1,0,145,65,130,7.0,900,20
390,0,0,100,75,70,8.5,600,25
391,2,0,20,25,35,6.5,600,25
392,2,1,140,80,55,6.0,500,20
393,2,1,125,65,60,6.0,600,25
394,0,4,60,60,55,6.0,500,15
395,1,0,55,40,60,5.5,900,20
396,1,0,55,40,35,6.0,400,25
397,4,4,75,60,50,7.5,900,30
398,1,4,110,60,40,6.5,1300,25
399,3,0,40,30,25,6.0,700,25
400,4,4,70,55,40,6.5,900,30
401,4,6,35,45,30,7.0,800,35
402,4,4,80,60,45,6.0,800,25
403,4,4,95,40,130,7.0,700,25
404,1,0,125,65,150,6.0,900,20
405,2,2,30,15,15,6.5,700,30
406,2,5,150,50,70,6.0,900,30
407,2,1,95,40,60,6.0,900,20
408,3,0,140,80,130,6.5,1300,25
409,2,1,100,45,50,7.0,500,15
410,1,0,140,80,145,7.0,1000,35
411,1,0,130,85,145,7.0,1000,25
412,2,1,115,40,45,6.5,1000,25
413,4,0,110,55,55,7.5,900,15
414,2,5,130,45,65,7.5,800,25
415,0,0,20,45,35,6.0,800,30
416,1,0,60,60,55,6.0,500,15
417,0,0,140,65,75,7.0,1200,35
418,1,4,105,55,60,6.0,1200,35
419,0,0,130,60,75,6.5,1000,35
420,2,1,105,40,55,7.5,800,15
421,1,0,60,20,35,7.5,400,25
422,1,0,120,75,140,6.5,900,30
423,2,5,100,65,60,6.0,900,30
424,2,1,130,65,45,6.5,600,25
425,2,1,120,80,40,6.5,500,20
426,2,2,20,10,15,6.0,600,25
427,3,0,140,70,130,7.5,1200,30
428,1,4,60,60,40,5.5,1000,30
429,3,0,135,60,125,6.5,1300,35
430,4,0,115,40,40,6.0,800,15
431,4,6,40,40,25,6.5,700,30
432,2,1,100,70,40,6.5,1000,25
433,4,0,125,70,55,6.5,600,25
434,0,0,120,80,80,8.0,500,30
435,2,1,115,40,55,7.5,800,15
436,2,1,120,70,40,6.5,1000,25
437,4,0,105,55,50,7.5,900,15
438,1,0,75,60,55,6.0,500,15
439,0,0,40,35,25,6.5,400,25
440,3,0,65,35,40,6.5,800,30
441,2,1,105,75,40,6.5,600,20
442,1,4,110,50,55,7.5,1100,30
443,0,0,25,45,20,6.5,800,30
444,0,0,145,80,80,8.5,1100,20
445,0,0,140,80,80,8.5,1100,20
446,1,0,140,90,145,6.0,900,20
447,2,0,30,40,20,7.0,500,25
448,4,4,100,55,130,7.5,800,30
449,2,5,120,55,50,6.0,800,25
450,4,6,150,70,95,7.0,800,25
451,3,6,120,50,45,6.5,700,20
452,3,0,30,40,30,7.0,900,35
453,2,5,120,60,50,6.0,1000,35
454,3,0,70,35,35,6.5,800,30
455,1,0,60,40,75,5.5,1000,35
456,4,0,25,30,45,6.5,1700,30
457,3,0,150,80,130,6.5,1300,25
458,4,0,135,80,40,7.5,600,20
459,2,5,105,55,65,7.5,800,25
460,4,6,30,40,30,7.0,800,35
461,1,4,120,40,60,6.0,1200,35
462,0,0,80,40,25,7.5,600,25
463,0,0,145,65,60,7.0,1000,25
464,2,5,100,65,50,7.0,1000,35
465,1,0,60,55,60,6.0,1000,25
466,2,0,80,55,100,7.0,1400,20
467,2,3,30,25,30,6.5,1000,30
468,1,0,130,60,140,6.5,900,20
469,3,4,25,35,20,6.0,800,30
470,2,5,135,50,60,7.0,1000,35
471,4,4,80,40,55,7.5,900,30
472,2,5,100,50,75,7.5,1000,35
473,2,5,100,55,50,6.0,800,25
474,1,0,130,60,130,7.0,900,30
475,0,0,65,35,25,6.5,600,30
476,2,1,80,55,50,7.5,600,20
477,2,5,100,65,45,6.5,900,30
478,2,1,120,70,60,6.0,500,15
479,4,6,135,80,90,7.0,800,25
480,2,1,60,40,50,7.5,600,20
481,3,0,140,60,150,7.5,1200,20
482,3,0,150,80,125,7.5,1500,25
483,4,0,25,30,40,6.5,1700,30
484,4,6,130,60,100,6.5,700,30
485,2,1,130,65,40,6.5,500,20
486,3,0,30,40,25,7.0,900,35
487,3,6,120,60,50,7.5,900,15
488,4,4,70,55,60,6.0,800,25
489,1,0,130,65,145,7.0,1000,25
490,0,4,80,40,45,6.5,600,20
491,1,0,60,20,40,6.0,600,35
492,0,4,70,40,45,6.5,600,20
493,0,0,20,40,30,7.5,700,25
494,4,0,150,75,45,7.0,500,20
495,1,0,55,45,80,6.0,900,20
496,3,0,120,55,60,6.0,800,35
497,0,4,60,40,30,7.5,600,30
498,1,0,130,90,120,6.5,1000,25
499,2,1,130,75,45,7.0,500,20
500,3,4,20,40,30,6.5,900,35
501,3,0,140,60,130,6.5,1000,30
502,1,4,80,50,40,6.5,1500,35
503,2,0,80,60,115,7.5,1500,35
504,0,0,110,65,80,8.0,500,15
505,2,5,100,50,55,6.5,900,30
506,4,0,140,80,40,7.5,600,20
507,0,0,130,70,70,7.5,1200,30
508,4,0,145,70,50,6.5,500,30
509,0,0,145,70,70,7.5,1200,30
510,2,0,25,25,40,6.5,600,30
511,4,0,120,50,50,7.0,800,25
512,1,0,130,85,130,6.0,1000,25
513,1,4,95,50,40,6.5,1500,35
514,4,0,145,80,45,7.5,500,30
515,4,6,150,80,95,6.5,700,20
516,4,0,100,20,50,7.5,1000,25
517,0,0,80,35,20,6.5,600,30
518,0,0,105,70,80,7.5,500,20
519,3,0,40,35,30,6.5,800,30
520,1,0,125,80,125,7.0,900,20
521,2,0,50,30,30,6.0,600,30
522,2,5,100,55,75,6.5,1000,35
523,0,0,150,80,70,8.5,1100,35
524,0,0,100,65,80,8.0,500,15
525,1,4,110,55,50,7.5,1500,35
526,1,0,125,80,150,6.0,900,30
527,2,2,25,10,15,6.0,600,25
528,0,0,120,75,65,8.0,1000,30
529,2,1,75,60,55,6.0,700,25
530,4,6,130,70,85,6.5,700,25
531,2,4,45,30,25,6.5,300,30
532,1,0,140,60,130,7.0,900,30
533,2,1,75,40,50,7.5,600,20
534,2,5,135,50,50,7.0,800,25
535,2,1,125,65,40,6.5,500,20
536,2,1,100,50,45,7.0,900,20
537,4,6,140,70,80,7.0,800,30
538,4,4,70,40,60,6.0,800,25
539,0,0,30,40,20,6.0,700,25
540,2,5,120,70,55,7.5,800,25
541,3,6,110,55,40,7.0,800,20
542,0,0,135,80,75,8.5,1000,20
543,4,4,65,55,55,7.5,900,30
544,2,5,120,40,55,7.5,900,30
545,4,0,105,60,55,6.0,800,20
546,0,0,135,80,80,8.5,1100,20
547,1,0,80,50,45,7.0,600,20
548,2,1,105,40,50,7.0,900,20
549,2,5,105,60,65,6.5,1000,35
550,4,0,105,60,40,6.5,900,15
551,1,0,140,75,150,6.0,900,20
552,2,5,100,60,55,7.5,800,25
553,2,5,115,65,60,6.0,900,30
554,1,0,140,80,135,6.5,900,30
555,1,4,120,55,60,6.0,1200,35
556,1,0,40,20,20,6.0,400,25
557,2,5,140,45,50,6.0,800,25
558,3,0,150,65,125,7.0,1100,25
559,0,0,120,60,80,8.5,500,10
560,2,0,40,20,20,5.5,500,25
561,2,5,150,40,75,6.5,1000,35
562,1,0,130,80,145,7.0,1000,35
563,0,0,60,35,25,6.5,600,30
564,0,0,80,30,25,6.0,500,25
565,2,5,105,60,55,7.5,800,25
566,2,3,40,20,25,6.0,600,20
567,1,0,135,70,130,7.0,900,30
568,4,6,130,65,90,6.5,700,20
569,2,1,100,60,60,7.5,800,15
570,4,0,100,60,45,7.0,800,20
571,0,0,65,30,30,6.0,500,25
572,2,5,115,65,65,7.5,1000,35
573,4,6,40,60,25,6.5,700,30
574,1,0,150,85,120,6.5,1000,35
575,4,6,125,75,95,7.0,800,20
576,4,4,80,40,140,6.0,700,30
577,1,0,145,80,135,6.5,900,30
578,2,3,25,25,35,6.5,800,30
579,3,0,150,75,150,7.0,1100,25
580,4,0,115,30,55,7.0,900,35
581,2,0,75,50,100,6.5,1000,20
582,4,4,60,60,45,7.0,800,25
583,3,0,150,70,125,7.0,1400,30
584,1,0,50,55,75,5.5,1000,35
585,0,0,135,65,80,7.0,1100,20
586,1,0,40,40,25,7.0,600,35
587,2,5,120,60,65,7.5,800,25
588,4,0,145,65,50,6.0,500,20
589,1,4,105,50,40,6.5,1500,35
590,0,4,75,45,60,6.0,500,15
591,1,0,50,55,70,6.5,1000,35
592,1,0,50,60,60,5.5,1000,25
593,4,0,120,65,60,6.0,500,25
594,0,4,80,45,40,6.5,600,20
595,1,4,95,55,50,7.5,1500,35
596,1,0,130,65,125,6.5,1000,25
597,4,4,65,60,45,6.0,800,25
598,0,0,120,60,75,6.5,1000,35
599,0,0,20,45,25,6.5,700,30
600,0,0,135,65,65,7.0,1100,25
601,1,0,40,60,80,6.0,900,20
602,2,5,110,50,50,7.0,800,25
603,2,1,75,40,45,6.0,900,20
604,1,0,130,90,135,6.5,900,30
605,4,4,100,45,130,7.0,700,20
606,1,0,130,80,120,6.5,1000,25
607,0,0,105,80,75,7.5,500,30
608,0,4,60,45,50,7.0,500,25
609,4,6,150,65,85,7.0,800,25
610,4,4,90,55,135,7.5,800,20
611,3,0,35,50,20,6.5,900,20
612,4,4,90,45,130,7.0,700,20
613,0,0,80,30,25,6.5,400,30
614,1,4,95,40,55,7.5,1300,25
615,2,5,100,45,55,6.5,900,30
616,1,4,120,60,50,7.5,1100,30
617,2,1,60,50,60,6.0,700,25
618,0,4,80,60,60,6.0,500,15
619,4,4,90,50,125,7.0,700,25
620,1,0,125,90,125,7.0,900,20
621,2,1,85,40,50,7.5,600,20
622,4,4,80,55,130,7.5,800,30
623,4,4,75,45,40,6.5,900,30
624,1,4,80,45,45,6.5,1100,30
625,0,0,120,80,60,8.5,1000,25
626,0,0,30,40,30,6.0,700,25
627,1,0,40,35,35,7.5,400,25
628,1,0,50,40,65,6.5,1000,25
629,4,0,150,70,60,6.5,500,20
630,0,0,150,65,60,7.0,1000,25
631,4,6,130,60,80,6.5,700,20
632,0,0,110,60,65,8.5,600,10
633,0,0,120,60,75,7.5,600,10
634,2,2,25,20,5,7.0,800,35
635,3,0,65,35,35,6.5,800,30
636,1,0,75,50,50,7.0,700,25
637,0,0,120,75,60,8.0,600,25
638,2,1,110,70,55,7.5,600,20
639,1,4,110,50,50,7.0,1200,35
640,2,3,35,30,40,5.5,900,25
641,0,4,40,20,20,6.0,500,25
642,2,2,30,20,10,7.0,800,35
643,2,1,95,45,45,6.5,600,20
644,1,0,40,25,35,7.5,600,35
645,1,4,105,60,45,7.0,1200,35
646,1,0,60,40,40,6.0,500,15
647,2,5,115,60,65,7.5,800,25
648,3,0,150,70,135,7.5,1500,25
649,1,4,90,40,55,7.5,1300,25
650,2,1,65,45,45,6.5,600,20
651,0,0,150,60,70,6.5,1100,30
652,2,1,120,60,45,6.5,700,30
653,2,5,115,45,75,6.5,1000,35
654,2,1,105,65,45,6.5,600,20
655,3,0,145,80,130,6.5,1300,25
656,1,4,90,60,40,6.5,1300,25
657,4,4,100,50,125,7.0,700,25
658,1,0,55,40,20,6.5,400,25
659,0,0,125,60,65,6.5,1200,25
660,4,0,115,30,45,6.5,800,35
661,1,0,55,25,35,7.5,600,35
662,4,4,80,60,120,6.5,800,20
663,2,3,25,25,40,6.5,700,25
664,2,5,120,75,45,6.5,900,30
665,1,0,60,55,40,6.5,600,20
666,1,0,60,20,30,7.0,500,30
667,1,0,75,50,55,7.5,600,20
668,2,5,125,40,70,6.0,900,30
669,1,0,145,90,125,7.0,900,20
670,1,0,40,40,20,6.5,400,25
671,2,1,85,45,45,6.5,600,20
672,2,5,115,70,55,7.5,800,25
673,0,0,115,70,65,8.0,500,20
674,2,1,70,45,60,6.0,500,15
675,1,4,80,55,50,7.5,1500,35
676,2,1,130,60,40,6.0,500,20
677,2,5,145,45,50,6.0,800,25
678,4,0,20,30,40,6.5,1700,30
679,2,5,105,70,50,7.0,1000,35
680,1,0,60,40,65,6.5,1000,25
681,0,0,60,30,30,6.0,300,20
682,2,5,120,40,70,6.0,900,30
683,4,0,130,80,30,7.5,500,20
684,2,5,100,50,70,6.0,900,30
